trial,failure_kind,recovered,loss,ska_delta,mamba_expand,depth_tier,d_state,ska_n_heads,ska_rank,n_ska_layers,placement,ska_ridge,ska_layerscale_init,norm_clip_multiplier,gamma_value,ska_power_K,beta_policy,learning_rate,weight_decay,warmup_ratio,grad_clip
1231,quota,True,4.2026243805885315,0.1708778738975525,3,full,24,4,32,4,midlate,0.00407671805420743,0.005601894177650195,1.25,1.05,1,linear,0.005140513323903937,0.15,0.06,1.0
1255,quota,True,4.228746175765991,0.17839986085891724,3,full,16,1,32,6,midlate,0.005841664511209126,0.12332556598710576,0.75,0.9,1,linear,0.004207357732488829,0.15,0.06,1.0
1270,quota,True,4.2084144949913025,0.16829317808151245,3,lean,32,2,32,4,late,0.007708475041676599,0.0978573208899452,0.75,1.0,1,linear,0.004996912962351664,0.15,0.06,0.5
1280,quota,True,4.257791221141815,0.19415032863616943,3,full,32,8,32,6,late,0.009994498607889816,0.11053537359607656,0.8164965809277261,1.0,1,linear,0.004086199314271834,0.15,0.01,1.0
1295,quota,True,4.202547609806061,0.18823230266571045,3,full,8,2,32,6,late,0.014077567252459325,0.1982716752332724,1.25,1.0,1,linear,0.005085092323070687,0.15,0.06,1.0
1376,oom,True,4.271303057670593,0.03181654214859009,3,full,32,2,32,6,even,0.005650268466096034,0.06221710086291951,0.8164965809277261,1.05,2,linear,0.00458568000902715,0.15,0.06,1.0
1562,oom,True,4.294885158538818,0.1581096649169922,1,full,32,2,32,6,midlate,0.007850306561298231,0.06843638602125934,0.75,0.9,1,linear,0.004708798559186791,0.1,0.06,1.0
1769,oom,True,4.182690441608429,0.19714605808258057,3,full,24,8,32,6,late,0.009824317141488572,0.09605577964147201,0.8164965809277261,0.9,1,linear,0.005181793357642395,0.1,0.06,1.0
1908,oom,True,4.172854721546173,0.19462859630584717,3,full,24,8,32,6,late,0.02462696001902846,0.16532895070838027,0.8164965809277261,0.9,1,linear,0.00549979763058791,0.1,0.06,1.0
1956,quota,False,,,3,full,24,2,32,6,late,0.01918539089681225,0.2544586825506611,0.75,0.9,1,learned,0.00457194175179415,0.15,0.06,0.5
1984,quota,True,4.308166980743408,0.019563496112823486,3,full,32,4,8,3,midlate,0.004890012337855019,0.22306001550575422,1.0,0.9,1,linear,0.004036096805018406,0.1,0.06,1.0
498,oom,True,4.263548672199249,0.14203035831451416,3,full,24,8,32,6,even,0.010429397045584802,0.005790873816531869,0.75,0.9,1,linear,0.005019367287330035,0.05,0.01,0.5
570,oom,True,4.179848790168762,0.19075065851211548,3,full,16,8,32,6,late,0.0272202936532197,0.006011786772881043,0.75,0.9,1,linear,0.004938008286409597,0.15,0.06,1.0
593,oom,True,4.283262550830841,0.13174104690551758,3,full,24,4,32,4,midlate,0.0039055762390180966,0.03204700037789088,1.25,1.0,1,linear,0.0039822293149430095,0.0,0.04,1.0
613,quota,True,4.195515930652618,0.16653889417648315,3,full,16,2,32,4,late,0.025405503242591426,0.012128937287809803,0.75,0.9,1,linear,0.0052271125829035205,0.15,0.06,1.0
723,oom,True,4.20610785484314,0.17400771379470825,3,full,24,4,32,6,midlate,0.014629432226170237,0.08356900866572539,0.8164965809277261,1.05,1,learned,0.0047224072413283545,0.15,0.06,1.0
746,oom,True,4.189785897731781,0.17522692680358887,3,full,8,4,32,3,late,0.005628111895172677,0.23149773740883295,0.8164965809277261,0.9,1,linear,0.005212913552416389,0.15,0.06,1.0
769,oom,True,4.195069432258606,0.17966455221176147,3,full,8,4,32,3,midlate,0.005629712083090518,0.24684385086865704,1.0,0.9,1,linear,0.005291460043434176,0.15,0.06,1.0
1205,oom,True,4.269719064235687,0.06538993120193481,3,full,24,8,32,6,late,0.019418811505728262,0.2244316626474696,1.25,1.0,1,one,0.005273474880305647,0.15,0.02,1.0
1244,oom,True,4.17644590139389,0.16733837127685547,3,full,32,8,32,3,midlate,0.005784152346861328,0.08333292069065529,0.75,0.9,1,learned,0.005363123825436367,0.1,0.06,1.0
1262,quota,False,,,3,full,32,2,32,6,even,0.009498810900964999,0.18211584347912585,1.25,1.0,1,one,0.00530034169962973,0.15,0.01,1.0
1276,oom,True,4.212653398513794,0.1667822003364563,3,full,8,4,24,6,late,0.017760331784739403,0.24932800655848758,0.8164965809277261,1.0,1,learned,0.005081625549348923,0.15,0.06,1.0
1290,oom,True,4.184765875339508,0.16575974225997925,3,full,8,8,32,6,even,0.0037867517130638633,0.03405627965557671,1.25,1.05,1,linear,0.005352581671925011,0.15,0.06,1.0
1326,oom,True,4.218339920043945,0.20187336206436157,2,lean,32,8,32,6,late,0.005851860756821762,0.13321694861235045,0.75,1.05,1,linear,0.004992045223670941,0.15,0.06,1.0
1476,oom,True,4.232287526130676,0.17205393314361572,2,full,32,8,32,6,late,0.008830977094289389,0.1378983612331627,0.8164965809277261,1.0,1,linear,0.004735471244662146,0.1,0.06,1.0
1698,oom,True,4.2094815373420715,0.17575806379318237,3,full,24,8,32,6,even,0.027047481924930564,0.18057228410283735,0.8164965809277261,0.9,1,linear,0.004465751693098183,0.15,0.06,0.5
1838,oom,True,4.173627972602844,0.218896746635437,3,full,24,8,32,6,late,0.02001456603505343,0.2551803831779433,0.75,1.0,1,linear,0.005373248950104706,0.15,0.04,1.0
1931,oom,False,,,,,,,,,,,,,,,,,,,
1967,quota,True,4.19658100605011,0.2156054973602295,3,full,32,8,32,6,late,0.013453263450718933,0.2782522337545202,0.75,1.0,1,linear,0.00496557263747123,0.15,0.04,1.0
103,oom,True,4.29899525642395,0.09586870670318604,3,full,24,8,32,3,midlate,0.004750063465963126,0.018522493721133477,1.0,1.0,1,learned,0.004024805795168763,0.0,0.06,0.5
565,oom,True,4.279583752155304,0.015863478183746338,3,full,32,2,8,4,even,0.01881029794706591,0.0422060802625118,0.8164965809277261,0.9,1,learned,0.004847605059816997,0.0,0.06,0.5
586,quota,False,,,3,full,16,8,32,4,midlate,0.023233636495146738,0.009381085705442764,1.0,0.9,1,linear,0.004367945220420374,0.15,0.06,1.0
609,quota,True,4.2110899686813354,0.14328467845916748,3,full,24,4,32,4,even,0.008537782661219712,0.054235067198882256,1.25,1.05,1,linear,0.005132349683053562,0.0,0.06,1.0
690,oom,True,4.224383533000946,0.17694807052612305,3,lean,24,8,32,6,even,0.013974260675413441,0.14434023955594089,1.25,1.05,1,linear,0.004531034608815501,0.15,0.04,1.0
738,oom,True,4.235482394695282,0.18036383390426636,3,lean,24,4,32,4,midlate,0.004493462652727855,0.0056349805702400405,1.25,1.05,1,linear,0.004945063757631501,0.15,0.06,1.0
757,oom,True,4.296493709087372,0.06730568408966064,3,full,24,4,32,3,midlate,0.008853870045950405,0.08939102857571511,1.25,0.9,1,head_scalar,0.0039946670455502705,0.15,0.06,1.0
1108,oom,True,4.2047330141067505,0.17065781354904175,3,full,32,8,32,6,even,0.015008533305400596,0.1046678463702135,0.8164965809277261,1.0,1,linear,0.004991396337733905,0.1,0.06,1.0
1238,quota,False,,,3,full,16,8,32,4,late,0.02121086714179782,0.07515417323506558,0.75,0.9,1,linear,0.005448172023594367,0.15,0.06,1.0
1260,quota,True,4.232495129108429,0.10765153169631958,3,full,32,2,16,6,late,0.0192984041319293,0.2681812327691473,0.8164965809277261,1.0,1,linear,0.004978638423277934,0.1,0.06,1.0
1273,oom,True,4.203482925891876,0.18871867656707764,2,full,32,4,32,6,late,0.005938708065849446,0.2349284896095688,0.8164965809277261,1.0,1,linear,0.005090508927209792,0.15,0.06,0.5
